# Time          5.0000E+02
# Units: Mol/kgw
    Distance           H+               CO2(aq)          H2S(aq)          SO4--            S34O4--          SO184--          SO164--          Methane(aq)      Formaldehyde     H2O16            H2O18        
    2.0600000E-01   -3.8661252E-03    1.2480710E-02    1.9326775E-03    2.5844344E-02    1.1672050E-03    5.2915177E-05    2.6007184E-02    1.0000000E-08    1.1922693E+00    1.0000003E+00    2.0468083E-03
    2.1000000E-01   -3.9390599E-03    1.2626580E-02    1.9691449E-03    2.5826389E-02    1.1664303E-03    5.2883361E-05    2.5989478E-02    1.0000000E-08    1.1921234E+00    1.0000003E+00    2.0468041E-03
    2.1400000E-01   -4.0119141E-03    1.2772288E-02    2.0055720E-03    2.5808454E-02    1.1656565E-03    5.2851524E-05    2.5971792E-02    1.0000000E-08    1.1919777E+00    1.0000003E+00    2.0468000E-03
    2.1800000E-01   -4.0846880E-03    1.2917836E-02    2.0419589E-03    2.5790539E-02    1.1648836E-03    5.2819666E-05    2.5954125E-02    1.0000000E-08    1.1918322E+00    1.0000003E+00    2.0467960E-03
    2.2200000E-01   -4.1573814E-03    1.3063222E-02    2.0783056E-03    2.5772643E-02    1.1641115E-03    5.2787787E-05    2.5936478E-02    1.0000000E-08    1.1916868E+00    1.0000003E+00    2.0467920E-03
    2.2600000E-01   -4.2299944E-03    1.3208449E-02    2.1146121E-03    2.5754768E-02    1.1633402E-03    5.2755890E-05    2.5918850E-02    1.0000000E-08    1.1915416E+00    1.0000003E+00    2.0467881E-03
    2.3000000E-01   -4.3025270E-03    1.3353514E-02    2.1508785E-03    2.5736912E-02    1.1625697E-03    5.2723974E-05    2.5901242E-02    1.0000000E-08    1.1913965E+00    1.0000003E+00    2.0467842E-03
    2.3400000E-01   -4.3749793E-03    1.3498418E-02    2.1871046E-03    2.5719076E-02    1.1618001E-03    5.2692040E-05    2.5883653E-02    1.0000000E-08    1.1912516E+00    1.0000003E+00    2.0467804E-03
    2.3800000E-01   -4.4473513E-03    1.3643162E-02    2.2232906E-03    2.5701261E-02    1.1610313E-03    5.2660089E-05    2.5866083E-02    1.0000000E-08    1.1911068E+00    1.0000004E+00    2.0467766E-03
    2.4200000E-01   -4.5196429E-03    1.3787746E-02    2.2594364E-03    2.5683465E-02    1.1602634E-03    5.2628123E-05    2.5848533E-02    1.0000000E-08    1.1909623E+00    1.0000004E+00    2.0467729E-03
    2.4600000E-01   -4.5918543E-03    1.3932168E-02    2.2955421E-03    2.5665689E-02    1.1594963E-03    5.2596140E-05    2.5831003E-02    1.0000000E-08    1.1908178E+00    1.0000004E+00    2.0467693E-03
    2.5000000E-01   -4.6639853E-03    1.4076430E-02    2.3316076E-03    2.5647933E-02    1.1587301E-03    5.2564144E-05    2.5813492E-02    1.0000000E-08    1.1906736E+00    1.0000004E+00    2.0467657E-03
    2.5400000E-01   -4.7360361E-03    1.4220532E-02    2.3676330E-03    2.5630196E-02    1.1579646E-03    5.2532133E-05    2.5796000E-02    1.0000000E-08    1.1905295E+00    1.0000004E+00    2.0467621E-03
    2.5800000E-01   -4.8080066E-03    1.4364473E-02    2.4036183E-03    2.5612480E-02    1.1572000E-03    5.2500109E-05    2.5778528E-02    1.0000000E-08    1.1903855E+00    1.0000004E+00    2.0467586E-03
