# Time          2.5000E+01
# Units: Mol/kgw
    Distance           H+               CO2(aq)          H2S(aq)          SO4--            S34O4--          SO184--          SO164--          Methane(aq)      Formaldehyde     H2O16            H2O18        
    2.7400000E-01   -1.2794297E-02    3.0337054E-02    6.3967635E-03    2.3660255E-02    1.0704859E-03    4.8532651E-05    2.3828289E-02    1.0000000E-08    1.1744129E+00    1.0000004E+00    2.0467613E-03
    2.7800000E-01   -1.2976965E-02    3.0702390E-02    6.4880976E-03    2.3615490E-02    1.0685179E-03    4.8445108E-05    2.3783776E-02    1.0000000E-08    1.1740476E+00    1.0000004E+00    2.0467584E-03
    2.8200000E-01   -1.3159497E-02    3.1067453E-02    6.5793632E-03    2.3570758E-02    1.0665514E-03    4.8357582E-05    2.3739296E-02    1.0000000E-08    1.1736825E+00    1.0000004E+00    2.0467555E-03
    2.8600000E-01   -1.3341890E-02    3.1432239E-02    6.6705598E-03    2.3526060E-02    1.0645863E-03    4.8270076E-05    2.3694850E-02    1.0000000E-08    1.1733178E+00    1.0000004E+00    2.0467527E-03
    2.9000000E-01   -1.3524144E-02    3.1796748E-02    6.7616871E-03    2.3481397E-02    1.0626227E-03    4.8182588E-05    2.3650437E-02    1.0000000E-08    1.1729533E+00    1.0000004E+00    2.0467499E-03
    2.9400000E-01   -1.3706260E-02    3.2160979E-02    6.8527447E-03    2.3436767E-02    1.0606606E-03    4.8095121E-05    2.3606058E-02    1.0000000E-08    1.1725890E+00    1.0000004E+00    2.0467471E-03
    2.9800000E-01   -1.3888234E-02    3.2524929E-02    6.9437322E-03    2.3392173E-02    1.0586999E-03    4.8007676E-05    2.3561713E-02    1.0000000E-08    1.1722251E+00    1.0000004E+00    2.0467444E-03
    3.0200000E-01   -1.4070068E-02    3.2888596E-02    7.0346491E-03    2.3347613E-02    1.0567407E-03    4.7920253E-05    2.3517403E-02    1.0000000E-08    1.1718614E+00    1.0000004E+00    2.0467417E-03
    3.0600000E-01   -1.4251760E-02    3.3251981E-02    7.1254951E-03    2.3303089E-02    1.0547830E-03    4.7832854E-05    2.3473126E-02    1.0000000E-08    1.1714980E+00    1.0000004E+00    2.0467391E-03
    3.1000000E-01   -1.4433310E-02    3.3615079E-02    7.2162699E-03    2.3258599E-02    1.0528269E-03    4.7745480E-05    2.3428885E-02    1.0000000E-08    1.1711349E+00    1.0000004E+00    2.0467366E-03
    3.1400000E-01   -1.4614716E-02    3.3977892E-02    7.3069729E-03    2.3214145E-02    1.0508722E-03    4.7658131E-05    2.3384678E-02    1.0000000E-08    1.1707721E+00    1.0000004E+00    2.0467341E-03
    3.1800000E-01   -1.4795978E-02    3.4340416E-02    7.3976039E-03    2.3169727E-02    1.0489190E-03    4.7570809E-05    2.3340506E-02    1.0000000E-08    1.1704096E+00    1.0000004E+00    2.0467316E-03
    3.2200000E-01   -1.4977095E-02    3.4702650E-02    7.4881624E-03    2.3125344E-02    1.0469674E-03    4.7483515E-05    2.3296369E-02    1.0000000E-08    1.1700474E+00    1.0000004E+00    2.0467291E-03
    3.2600000E-01   -1.5158066E-02    3.5064592E-02    7.5786481E-03    2.3080997E-02    1.0450173E-03    4.7396249E-05    2.3252267E-02    1.0000000E-08    1.1696854E+00    1.0000004E+00    2.0467267E-03
    3.3000000E-01   -1.5338891E-02    3.5426242E-02    7.6690605E-03    2.3036687E-02    1.0430687E-03    4.7309013E-05    2.3208201E-02    1.0000000E-08    1.1693238E+00    1.0000004E+00    2.0467244E-03
    3.3400000E-01   -1.5519569E-02    3.5787597E-02    7.7593993E-03    2.2992413E-02    1.0411217E-03    4.7221808E-05    2.3164171E-02    1.0000000E-08    1.1689624E+00    1.0000004E+00    2.0467221E-03
    3.3800000E-01   -1.5700098E-02    3.6148656E-02    7.8496641E-03    2.2948175E-02    1.0391763E-03    4.7134634E-05    2.3120176E-02    1.0000000E-08    1.1686013E+00    1.0000004E+00    2.0467198E-03
    3.4200000E-01   -1.5880479E-02    3.6509418E-02    7.9398545E-03    2.2903974E-02    1.0372324E-03    4.7047492E-05    2.3076218E-02    1.0000000E-08    1.1682406E+00    1.0000004E+00    2.0467176E-03
    3.4600000E-01   -1.6060710E-02    3.6869880E-02    8.0299701E-03    2.2859810E-02    1.0352901E-03    4.6960384E-05    2.3032296E-02    1.0000000E-08    1.1678801E+00    1.0000004E+00    2.0467154E-03
    3.5000000E-01   -1.6240791E-02    3.7230042E-02    8.1200105E-03    2.2815683E-02    1.0333494E-03    4.6873311E-05    2.2988410E-02    1.0000000E-08    1.1675200E+00    1.0000004E+00    2.0467133E-03
    3.5400000E-01   -1.6420721E-02    3.7589902E-02    8.2099754E-03    2.2771593E-02    1.0314102E-03    4.6786273E-05    2.2944561E-02    1.0000000E-08    1.1671601E+00    1.0000004E+00    2.0467112E-03
    3.5800000E-01   -1.6600499E-02    3.7949458E-02    8.2998644E-03    2.2727541E-02    1.0294727E-03    4.6699271E-05    2.2900749E-02    1.0000000E-08    1.1668005E+00    1.0000004E+00    2.0467091E-03
    3.6200000E-01   -1.6780124E-02    3.8308708E-02    8.3896771E-03    2.2683527E-02    1.0275368E-03    4.6612306E-05    2.2856973E-02    1.0000000E-08    1.1664413E+00    1.0000004E+00    2.0467071E-03
    3.6600000E-01   -1.6959596E-02    3.8667652E-02    8.4794131E-03    2.2639550E-02    1.0256025E-03    4.6525379E-05    2.2813235E-02    1.0000000E-08    1.1660823E+00    1.0000004E+00    2.0467051E-03
    3.7000000E-01   -1.7138914E-02    3.9026288E-02    8.5690720E-03    2.2595611E-02    1.0236698E-03    4.6438491E-05    2.2769535E-02    1.0000000E-08    1.1657237E+00    1.0000004E+00    2.0467031E-03
    3.7400000E-01   -1.7318077E-02    3.9384614E-02    8.6586535E-03    2.2551711E-02    1.0217388E-03    4.6351642E-05    2.2725871E-02    1.0000000E-08    1.1653654E+00    1.0000004E+00    2.0467012E-03
    3.7800000E-01   -1.7497085E-02    3.9742629E-02    8.7481572E-03    2.2507849E-02    1.0198094E-03    4.6264835E-05    2.2682246E-02    1.0000000E-08    1.1650074E+00    1.0000004E+00    2.0466993E-03
    3.8200000E-01   -1.7675936E-02    4.0100331E-02    8.8375827E-03    2.2464025E-02    1.0178816E-03    4.6178069E-05    2.2638658E-02    1.0000000E-08    1.1646497E+00    1.0000004E+00    2.0466975E-03
    3.8600000E-01   -1.7854629E-02    4.0457719E-02    8.9269296E-03    2.2420241E-02    1.0159555E-03    4.6091345E-05    2.2595109E-02    1.0000000E-08    1.1642923E+00    1.0000004E+00    2.0466957E-03
    3.9000000E-01   -1.8033165E-02    4.0814791E-02    9.0161977E-03    2.2376495E-02    1.0140311E-03    4.6004665E-05    2.2551598E-02    1.0000000E-08    1.1639352E+00    1.0000004E+00    2.0466939E-03
    3.9400000E-01   -1.8211543E-02    4.1171545E-02    9.1053864E-03    2.2332788E-02    1.0121083E-03    4.5918029E-05    2.2508125E-02    1.0000000E-08    1.1635785E+00    1.0000004E+00    2.0466921E-03
    3.9800000E-01   -1.8389761E-02    4.1527982E-02    9.1944954E-03    2.2289121E-02    1.0101873E-03    4.5831438E-05    2.2464691E-02    1.0000000E-08    1.1632220E+00    1.0000004E+00    2.0466904E-03
    4.0200000E-01   -1.8567819E-02    4.1884098E-02    9.2835244E-03    2.2245493E-02    1.0082679E-03    4.5744892E-05    2.2421296E-02    1.0000000E-08    1.1628659E+00    1.0000004E+00    2.0466887E-03
    4.0600000E-01   -1.8745716E-02    4.2239892E-02    9.3724730E-03    2.2201905E-02    1.0063502E-03    4.5658394E-05    2.2377940E-02    1.0000000E-08    1.1625101E+00    1.0000004E+00    2.0466871E-03
    4.1000000E-01   -1.8923452E-02    4.2595363E-02    9.4613408E-03    2.2158357E-02    1.0044342E-03    4.5571942E-05    2.2334622E-02    1.0000000E-08    1.1621546E+00    1.0000004E+00    2.0466855E-03
    4.1400000E-01   -1.9101025E-02    4.2950510E-02    9.5501274E-03    2.2114849E-02    1.0025199E-03    4.5485539E-05    2.2291345E-02    1.0000000E-08    1.1617995E+00    1.0000004E+00    2.0466839E-03
    4.1800000E-01   -1.9278435E-02    4.3305330E-02    9.6388325E-03    2.2071380E-02    1.0006074E-03    4.5399185E-05    2.2248107E-02    1.0000000E-08    1.1614447E+00    1.0000004E+00    2.0466824E-03
    4.2200000E-01   -1.9455682E-02    4.3659823E-02    9.7274558E-03    2.2027953E-02    9.9869653E-04    4.5312881E-05    2.2204908E-02    1.0000000E-08    1.1610902E+00    1.0000004E+00    2.0466808E-03
